GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
089.0847,-67.2901,       1,J0001.2-0748 ,  0,Y,PMN J0001-0746            ,000.32510,-07.77415, 0.042, 0.075,bll    ,ISP,14.486,14.486,        , 0.997, 0.859, 0.000,      ,   209.17,N,   8.100,17.612,17.210, 0.50, 1.38
107.6563,-40.1603,       2,J0001.4+2120 ,  0,Y,TXS 2358+209              ,000.38502,+21.22679, 0.113, 0.199,fsrq   ,ISP,14.163,14.486, 1.10600, 0.924, 0.000, 0.000, 2.396,   217.87,N,  23.100,18.714,18.420, 0.63, 0.92
334.3211,-72.0294,       3,J0002.2-4152 ,  0,Y,1RXS J000135.5-415519     ,000.38642,-41.92367, 0.137, 0.174,bcu II ,HSP,15.800,15.800,        , 0.972, 0.000, 0.000,-0.586,    13.20,S,        ,18.427,      , 0.33, 1.07
318.9444,-62.8158,       4,J0003.2-5246 ,  0,Y,RBS 0006                  ,000.83121,-52.79103, 0.017, 0.065,bcu II ,HSP,16.850,16.850,        , 0.998, 0.000, 0.900,-0.517,    65.30,S,  48.500,18.813,      , 0.52, 0.86
084.6654,-71.0798,       5,J0003.8-1151 ,  0,N,PMN J0004-1148            ,001.02048,-11.81622, 0.076, 0.114,bcu II ,LSP,12.515,12.515,        , 0.995, 0.869, 0.000,-0.357,   459.60,N,        ,18.575,      , 0.74,
084.3536,-71.0681,       6,J0003.8-1151 ,  0,N,PKS 0001-121              ,000.92848,-11.86372, 0.030, 0.114,bcu I  ,-  ,      ,      , 1.30999, 0.988, 0.871, 0.000,      ,   352.48,N,        ,17.423,      , 0.53,
323.9468,-67.5662,       7,J0004.7-4740 ,  0,Y,PKS 0002-478              ,001.14856,-47.60545, 0.069, 0.084,fsrq   ,LSP,13.145,13.419, 0.88000, 0.993, 0.927, 0.000, 0.304,   932.90,S,  14.900,17.296,      , 0.67, 1.16
113.2103,-23.6741,       8,J0006.4+3825 ,  0,Y,S4 0003+38                ,001.48823,+38.33754, 0.126, 0.179,fsrq   ,LSP,13.145,13.235, 0.22900, 0.992, 0.844, 0.000, 0.689,   572.76,N,        ,17.724,      , 0.65, 1.36
115.3158,-15.0262,       9,J0008.0+4713 ,  0,Y,MG4 J000800+4712          ,001.99989,+47.20216, 0.028, 0.031,bll    ,HSP,15.400,15.891, 2.10000, 0.999, 0.839, 0.843, 0.160,    60.86,N,  14.800,18.283,      , 0.41, 1.14
050.3020,-79.7242,      10,J0008.6-2340 ,  0,Y,RBS 0016                  ,002.14750,-23.65778, 0.028, 0.070,bll    ,ISP,14.720,14.780, 0.14700, 0.999, 0.000, 0.890,-0.255,    36.26,N,  47.100,16.641,      , 0.42, 0.95
104.4245,-54.8694,      11,J0009.1+0630 ,  0,N,CRATES J000903.95+062821.5,002.26638,+06.47257, 0.043, 0.060,bll    ,LSP,13.440,13.440,        , 0.994, 0.875, 0.803,      ,   247.06,N,  13.000,18.704,18.110, 0.62, 1.14
104.4950,-54.9238,      12,J0009.1+0630 ,  0,N,GB6 J0009+0625            ,002.32106,+06.43187, 0.078, 0.060,bll    ,ISP,14.822,14.822,        , 0.931, 0.000, 0.000,      ,   180.08,N,        ,19.492,19.200, 0.74, 1.30
116.1226,-11.8068,      13,J0009.3+5030 ,  0,Y,NVSS J000922+503028       ,002.34483,+50.50801, 0.007, 0.020,bll    ,HSP,15.150,15.150,        , 0.999, 0.854, 0.000,      ,    12.27,N,        ,      ,      ,     ,
000.8724,-79.5639,      14,J0009.6-3211 ,  0,N,IC 1531                   ,002.39816,-32.27692, 0.078, 0.141,bcu I  ,ISP,14.645,14.656, 0.02500, 0.963, 0.847, 0.000,-0.906,   388.85,N,   5.010, 8.910,      ,-0.09, 2.75
332.4578,-74.9392,      15,J0013.2-3954 ,  0,Y,PKS 0010-401              ,003.24962,-39.90724, 0.042, 0.054,bll    ,LSP,12.270,12.270,        , 0.999, 0.918, 0.000,      ,   494.61,N,        ,18.090,      , 0.74,
074.6318,-78.0869,      16,J0013.9-1853 ,  1,Y,RBS 0030                  ,003.48351,-18.90186, 0.009, 0.060,bll    ,HSP,16.721,16.760, 0.09440, 0.999, 0.000, 0.939,-1.211,    29.63,N, 126.000,12.946,      ,-0.01, 1.58
317.4500,-65.6894,      17,J0014.0-5025 ,  0,Y,RBS 0032                  ,003.54675,-50.37575, 0.056, 0.079,bll    ,HSP,16.925,16.925,        , 0.998, 0.000, 0.911,      ,    15.10,S, 123.000,19.060,      , 0.52, 0.43
103.9989,-61.8224,      18,J0016.3-0013 ,  0,Y,S3 0013-00                ,004.04620,-00.25346, 0.040, 0.107,fsrq   ,LSP,12.402,12.813, 1.57700, 0.997, 0.932, 0.000, 1.792,  1085.71,N,        ,19.986,19.120, 0.83, 1.20
099.5147,-68.1423,      19,J0017.2-0643 ,  0,Y,PMN J0017-0650            ,004.28913,-06.84304, 0.120, 0.114,bcu II ,LSP,13.670,13.670,        , 0.812, 0.000, 0.000,-0.192,    93.98,N,        ,18.604,18.310, 0.52,
101.2394,-66.6474,      20,J0017.6-0512 ,  0,Y,PMN J0017-0512            ,004.39924,-05.21160, 0.008, 0.068,fsrq   ,LSP,13.600,13.689, 0.22700, 0.999, 0.876, 0.843, 0.967,   178.44,N,  17.400,18.088,17.020, 0.54, 1.24
114.4442,-32.5357,      21,J0018.4+2947 ,  0,Y,RBS 0042                  ,004.61579,+29.79199, 0.011, 0.078,bll    ,HSP,16.772,16.813, 0.10000, 0.999, 0.000, 0.932,-1.042,    33.80,N, 143.000,17.471,18.040, 0.43, 0.63
304.3136,-35.1610,      22,J0018.9-8152 ,  0,Y,PMN J0019-8152            ,004.83602,-81.88095, 0.013, 0.054,bll    ,HSP,15.144,15.144,        , 0.997, 0.818, 0.912,      ,    87.00,S,  49.900,16.348,      , 0.31, 1.27
311.6913,-59.8857,      23,J0019.1-5645 ,  0,Y,PMN J0019-5641            ,004.86088,-56.69513, 0.066, 0.108,bcu II ,LSP,12.830,12.830,        , 0.986, 0.000, 0.000, 1.058,    60.60,S,        ,21.309,      , 0.74,
112.8989,-41.8886,      24,J0019.4+2021 ,  0,Y,PKS 0017+200              ,004.90773,+20.36268, 0.043, 0.132,bll    ,LSP,12.320,12.320,        , 0.994, 0.919, 0.000,      ,   983.99,N,        ,19.899,19.160, 0.87, 1.32
042.0905,-83.1902,      25,J0021.6-2553 ,  0,Y,CRATES J002132.55-255049.3,005.38562,-25.84705, 0.047, 0.053,bll    ,ISP,14.528,14.528,        , 0.992, 0.000, 0.000,      ,    69.02,N,        ,17.221,      , 0.49, 1.63
306.7354,-48.5775,      26,J0021.6-6835 ,  0,N,PKS 0021-686              ,006.02801,-68.34850, 0.333, 0.297,bcu II ,LSP,13.440,13.440,        , 0.945, 0.850, 0.000, 0.694,  1248.00,S,  21.700,16.493,      , 0.51, 1.35
082.1420,-79.3654,      27,J0022.1-1855 ,  0,Y,1RXS J002209.2-185333     ,005.53862,-18.89302, 0.030, 0.032,bll    ,HSP,15.130,15.130,        , 0.992, 0.000, 0.828,      ,    22.53,N,  10.900,17.447,      , 0.34, 1.28
313.6993,-64.8346,      28,J0022.1-5141 ,  0,Y,1RXS J002159.2-514028     ,005.49933,-51.67381, 0.035, 0.047,bll    ,HSP,15.680,15.680,        , 0.997, 0.000, 0.903,      ,    20.00,S,  50.900,16.579,      , 0.24, 1.18
110.0080,-56.0104,      29,J0022.5+0608 ,  0,Y,PKS 0019+058              ,005.63517,+06.13452, 0.008, 0.036,bll    ,LSP,13.112,13.112,        , 1.000, 0.938, 0.000,      ,   340.32,N,        ,19.510,17.830, 0.60, 1.45
117.7666,-17.6490,      30,J0023.5+4454 ,  0,Y,B3 0020+446               ,005.89768,+44.94327, 0.040, 0.123,fsrq   ,LSP,12.736,13.050, 1.06200, 0.997, 0.800, 0.000, 1.199,   140.60,N,        ,      ,      ,     ,
110.1552,-58.3906,      31,J0024.4+0350 ,  0,Y,GB6 J0024+0349            ,006.18841,+03.81766, 0.082, 0.115,fsrq   ,LSP,13.460,13.649, 0.54500, 0.980, 0.000, 0.000, 0.437,    22.08,N,        ,19.812,18.630, 0.51,
315.9233,-70.4773,      32,J0026.7-4603 ,  0,N,1RXS J002636.3-460101     ,006.64879,-46.01922, 0.048, 0.134,bll    ,HSP,17.408,17.408,        , 0.999, 0.000, 0.899,      ,    38.70,S, 141.000,18.066,      , 0.45, 0.73
121.4070,+12.3006,      33,J0028.6+7507 ,  0,Y,GB6 J0028+7506            ,007.05443,+75.10358, 0.031, 0.082,bcu II ,ISP,14.230,14.230,        , 0.994, 0.000, 0.000, 0.605,    81.10,N,        ,      ,      ,     ,
115.6103,-42.5379,      34,J0028.8+1951 ,  0,N,TXS 0025+197              ,007.12424,+20.00743, 0.172, 0.159,bcu III,-  ,      ,      ,        , 0.944, 0.000, 0.000,-1.502,   287.09,N,        ,19.942,19.320, 0.71,
305.6391,-46.2541,      35,J0029.1-7045 ,  0,Y,PKS 0026-710              ,007.17318,-70.75442, 0.041, 0.061,bll    ,ISP,14.230,14.230,        , 0.999, 0.935, 0.000,      ,   260.00,A,        ,17.437,      , 0.59,
096.5783,-78.5646,      36,J0030.2-1646 ,  0,Y,1RXS J003019.6-164723     ,007.58494,-16.78729, 0.022, 0.042,bcu II ,HSP,15.520,15.520,        , 0.997, 0.000, 0.840,-0.064,     9.53,N,  10.200,17.777,      , 0.28, 1.28
317.3264,-74.1192,      37,J0030.3-4223 ,  0,Y,PKS 0027-426              ,007.57289,-42.41291, 0.021, 0.052,fsrq   ,LSP,13.239,13.414, 0.49500, 0.999, 0.925, 0.000, 1.522,   424.80,S,        ,18.646,      , 0.72, 1.06
110.6914,-64.5726,      38,J0030.7-0209 ,  0,Y,PKS B0027-024             ,007.63260,-02.19893, 0.077, 0.070,bcu II ,LSP,12.576,12.576,        , 0.881, 0.882, 0.000, 1.050,   297.00,A,        ,18.525,19.110, 0.63,
114.1925,-55.1153,      39,J0031.3+0724 ,  0,Y,NVSS J003119+072456       ,007.83212,+07.41488, 0.002, 0.072,bcu II ,HSP,15.176,15.176,        , 1.000, 0.000, 0.000,-0.712,    12.20,N,        ,19.167,17.000, 0.23, 1.75
009.7296,-85.4998,      40,J0032.3-2852 ,  0,Y,PMN J0032-2849            ,008.13793,-28.82199, 0.069, 0.075,bll    ,ISP,14.580,14.702, 0.32400, 0.980, 0.805, 0.000,-0.501,   160.73,N,        ,17.180,      , 0.49, 1.61
094.1744,-81.2161,      41,J0033.6-1921 ,  1,Y,KUV 00311-1938            ,008.39325,-19.35920, 0.010, 0.019,bll    ,HSP,15.920,16.127, 0.61000, 1.000, 0.865, 0.970,-0.050,    18.89,N, 149.000,16.259,      , 0.20, 1.03
