GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
119.6256,+08.1436,       1,J0012.4+7040,  0,TXS 0008+704         ,002.88293,+70.75878, 0.115, 0.105,bcu II ,LSP,13.075,13.075,        , 0.912, 0.856, 639.00,N,      ,      
118.5476,-01.2642,       2,J0014.6+6119,  0,4C +60.01            ,003.70330,+61.29543, 0.031, 0.061,bcu II ,LSP,13.113,13.113,        , 0.997, 0.976,4040.00,N,      ,      
118.0694,-04.4904,       3,J0014.7+5802,  0,1RXS J001442.2+580201,003.67471,+58.03404, 0.009, 0.055,bll    ,HSP,16.640,16.640,        ,      ,      ,   7.70,N,104.00, 0.936
117.8937,-06.6592,       4,J0015.7+5552,  0,GB6 J0015+5551       ,003.91737,+55.86226, 0.018, 0.043,bcu II ,HSP,15.791,15.791,        , 0.998, 0.868,  85.00,N,152.00, 0.952
120.9756,-02.9780,       5,J0035.9+5949,  1,1ES 0033+595         ,008.96935,+59.83459, 0.010, 0.018,bll    ,HSP,17.120,17.120,        , 1.000, 0.935, 148.00,N,318.00, 0.979
122.3248,-05.9047,       6,J0047.0+5658,  0,GB6 J0047+5657       ,011.75179,+56.96178, 0.013, 0.040,bll    ,-  ,      ,      , 0.74700, 1.000, 0.910, 190.00,N,      ,      
122.4118,-08.0723,       7,J0047.9+5447,  0,1RXS J004754.5+544758,011.96611,+54.79579, 0.010, 0.060,bcu II ,HSP,15.896,15.896,        ,      ,      ,  13.90,N, 31.20, 0.890
124.4193,-04.4359,       8,J0102.8+5825,  0,TXS 0059+581         ,015.69068,+58.40309, 0.023, 0.020,fsrq   ,LSP,12.725,12.941, 0.64400, 0.999, 0.956, 849.00,N,      ,      
124.7332,-09.2094,       9,J0103.4+5336,  0,1RXS J010325.9+533721,015.85816,+53.62036, 0.006, 0.042,bll    ,-  ,      ,      ,        ,      , 0.824,  30.90,N, 63.70, 0.934
125.1136,-01.2356,      10,J0109.8+6132,  0,TXS 0106+612         ,017.44310,+61.55846, 0.015, 0.033,fsrq   ,LSP,13.290,13.541, 0.78300, 0.999, 0.934, 305.00,N,      ,      
