Source_Name GLON GLAT dTH TS F_PSR_INT F_PSR_IND F_OB_INT F_OB_IND TYPE A_PSR_INT UNC_A_PSR_INT B_PSR_INT UNC_B_PSR_INT EB_PSR_INT A_PSR_IND UNC_A_PSR_IND B_PSR_IND UNC_B_PSR_IND EB_PSR_IND A_OB_INT UNC_A_OB_INT B_OB_INT UNC_B_OB_INT EB_OB_INT A_OB_IND UNC_A_OB_IND B_OB_IND UNC_B_OB_IND EB_OB_IND ASSOC_3FGL
1FIGJ1701.1-3004 353.60 7.34 0.03 165 2.61 2.62 2.54 2.65 LP 2.28 0.21 0.48 0.24 2.62 2.30 0.22 0.47 0.26 2.62 2.23 0.22 0.51 0.26 2.62 2.29 0.21 0.48 0.26 2.62 3FGLJ1701.2-3006
1FIGJ1717.5-3342 352.74 2.36 0.03 113 3.13 3.58 3.73 3.78 LP 2.52 0.23 0.63 0.27 0.35 2.70 0.22 0.50 0.26 0.35 2.59 0.21 0.57 0.25 0.35 2.67 0.21 0.50 0.25 0.35 3FGLJ1717.8-3342
1FIGJ1718.0-3056 355.05 3.90 0.04 26 0.74 0.93 0.92 0.90 PL 1.98 0.25 0.00 0.00 1.00 2.15 0.25 0.00 0.00 1.00 2.05 0.23 0.00 0.00 1.00 2.09 0.25 0.00 0.00 1.00 3FGLJ1718.1-3056
1FIGJ1728.6-3433 353.36 -0.03 0.04 42 3.65 4.38 3.70 3.85 PL 2.54 0.19 0.00 0.00 1.00 3.03 0.26 0.00 0.00 1.00 2.48 0.18 0.00 0.00 1.00 2.81 0.24 0.00 0.00 1.00 NA 
1FIGJ1729.1-3502 352.98 -0.34 0.05 87 3.76 4.10 4.01 3.79 LP 1.81 0.28 0.81 0.38 2.82 2.33 0.27 0.66 0.49 2.82 1.80 0.26 0.78 0.33 2.82 2.12 0.28 0.66 0.41 2.82 NA
1FIGJ1730.2-3351 354.10 0.13 0.08 34 3.41 4.22 3.43 3.58 PL 2.67 0.20 0.00 0.00 1.00 3.10 0.25 0.00 0.00 1.00 2.61 0.19 0.00 0.00 1.00 2.91 0.24 0.00 0.00 1.00 NA
1FIGJ1731.3-3235 355.30 0.60 0.05 80 3.97 5.01 4.19 4.89 LP 1.53 0.39 1.41 0.58 2.19 2.33 0.31 1.12 0.57 2.19 1.50 0.38 1.39 0.54 2.19 2.11 0.31 1.10 0.52 2.19 NA
1FIGJ1731.6-3001 357.49 1.94 0.03 120 3.13 3.68 3.04 3.18 LP 2.28 0.14 0.07 0.13 0.52 2.41 0.14 0.00 0.00 0.52 2.26 0.15 0.09 0.13 0.52 2.32 0.14 0.04 0.12 0.52 3FGLJ1731.8-3001
1FIGJ1732.3-3131 356.31 1.01 0.01 3339 36.00 37.44 36.32 37.46 LP 1.87 0.07 0.82 0.08 1.91 2.03 0.07 0.76 0.08 1.91 1.86 0.07 0.83 0.08 1.91 1.99 0.07 0.77 0.08 1.91 3FGLJ1732.5-3130
1FIGJ1734.6-3228 355.78 0.06 0.07 30 2.01 2.53 1.72 1.54 PL 2.09 0.20 0.00 0.00 1.00 2.47 0.26 0.00 0.00 1.00 2.00 0.20 0.00 0.00 1.00 2.15 0.27 0.00 0.00 1.00 NA
1FIGJ1735.4-3030 357.52 1.00 0.05 40 2.82 3.40 2.54 2.95 PL 2.62 0.19 0.00 0.00 1.00 2.84 0.20 0.00 0.00 1.00 2.58 0.19 0.00 0.00 1.00 2.75 0.20 0.00 0.00 1.00 NA
1FIGJ1736.1-3150 356.45 0.18 0.09 35 1.74 1.64 1.53 1.40 PL 1.90 0.19 0.00 0.00 1.00 2.07 0.25 0.00 0.00 1.00 1.85 0.19 0.00 0.00 1.00 1.95 0.23 0.00 0.00 1.00 NA
1FIGJ1736.1-3422 354.34 -1.19 0.05 47 2.34 2.64 2.68 2.74 PL 2.48 0.18 0.00 0.00 1.00 2.65 0.00 0.00 1.00 0.19 2.49 0.16 0.00 0.00 1.00 2.60 0.18 0.00 0.00 1.00 NA
1FIGJ1737.4-3144 356.71 -0.03 0.06 67 3.52 3.82 2.80 2.88 LP 0.82 0.55 2.42 0.98 2.15 1.63 0.52 2.48 1.34 2.15 0.37 0.69 2.77 1.20 2.15 1.00 0.70 3.01 1.85 2.15 NA
1FIGJ1739.4-3010 358.27 0.44 0.09 39 3.61 4.64 2.44 3.17 PL 2.71 0.20 0.00 0.00 1.00 3.13 0.25 0.00 0.00 1.00 2.59 0.24 0.00 0.00 1.00 2.93 0.28 0.00 0.00 1.00 NA
1FIGJ1740.1-3057 357.66 -0.06 0.04 43 3.11 3.48 2.10 2.86 PL 2.27 0.17 0.00 0.00 1.00 2.57 0.21 0.00 0.00 1.00 2.13 0.19 0.00 0.00 1.00 2.42 0.21 0.00 0.00 1.00 NA
